Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Belarus,BLR,1.012460438,0.968039037,0.679254728,0.534922761,0.549047225,0.599244677,0.73295155,0.763444703,0.900009631,0.800472536,0.882282948,1.482876321,1.784757009,1.483390656,1.462229646,2.199570345,2.645945489,2.617002194,2.864012843,2.574285376,2.395911014,2.050234869,2.234198592
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Bosnia and Herzegovina,BIH,2.110836356,1.686218201,1.196777323,1.080761592,1.181807696,1.503506416,1.866442421,1.849780928,1.707903827,1.296942172,1.133289532,1.041158472,1.063966396,0.909585262,0.96753212,0.89533296,1.078588998,1.347033847,0.743861357,0.956903641,0.705227681,0.73596591,1.551278274
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Georgia,GEO,1.861265391,1.196660193,1.372078758,1.133150013,0.747817452,0.582567194,0.879953276,0.728869989,1.978102128,2.500392915,2.224410643,2.238242755,2.623748565,3.153121806,2.659474765,4.694666367,6.501992117,3.795452629,4.048669994,4.420592345,4.126149818,3.879018444,3.674668787
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Kazakhstan,KAZ,4.637120342,3.522913266,3.077665934,2.738317066,2.264474708,3.376624726,3.236975102,3.902684629,3.843517709,5.511189021,3.757831749,3.774129237,1.302903055,1.223511465,1.672115361,2.078017652,2.286294904,2.290100081,2.446254385,2.169737736,2.214125139,2.228216094,2.791016289
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,0.295956128,0.867582131,0.697415928,0.678254706,0.578033032,0.662453528,0.656441939,1.074491787,0.92613586,0.788839619,0.773464075,0.713061343,0.651977324,0.239694711,0.233889151
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Kyrgyz Republic,KGZ,6.274970323,3.493900184,2.051057986,1.642542698,1.830071768,1.621710559,1.289443956,1.137718349,1.055494377,0.955580303,0.921309216,1.448598957,1.093521981,1.134186619,1.23419789,1.65227153,2.161500757,2.164902651,2.704379362,2.168037846,1.397161615,1.175655495,2.272169903
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Moldova,MDA,5.553483951,4.497634463,3.390034295,2.354623422,2.622755416,2.09409861,2.175221956,2.200080405,1.359079269,1.241634553,1.07259825,1.027745708,0.856205103,0.986953781,0.924178176,0.789974799,1.134141363,1.178629652,1.041679978,0.957213235,0.771963375,1.006352877,1.573205671
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Montenegro,MNE,..,..,..,..,..,..,1.068876289,1.592211396,0.925920539,1.047690129,0.869075019,3.135618365,3.504357604,3.463886411,3.2148023,3.720778301,3.734937313,4.192171185,4.933294644,4.281788053,3.644938711,2.822745212,4.883441729
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,North Macedonia,MKD,1.231028868,1.629061464,1.323221963,1.062158651,1.570346898,1.50879064,1.829421719,2.061195999,1.679080259,1.720355842,1.953079176,1.953183909,2.180142531,1.81920053,1.677930675,1.921506807,1.933004747,2.47413468,2.064658072,2.136517348,2.172544227,2.253425091,2.246660992
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Serbia,SRB,0.731284882,0.597739305,0.928754214,1.080335642,1.207135901,1.694209399,1.880790968,2.155221825,2.461789567,2.322450057,2.13886366,2.011485479,2.414939172,2.760550387,2.647269521,2.757908839,2.175004943,1.889719494,1.529793942,1.490105803,1.158892418,1.149773949,1.322235169
